epoch,accuracy,loss,val_accuracy,val_loss
1,0.2718,1.5974,0.3231,1.4904
2,0.3946,1.3910,0.3692,1.5178
3,0.4757,1.2476,0.4412,1.2998
4,0.5258,1.1474,0.5508,1.0732
5,0.5538,1.0832,0.5327,1.1532
6,0.5810,1.0290,0.5488,1.0947
7,0.6018,0.9862,0.5691,1.0456
8,0.6136,0.9539,0.5716,1.0631
9,0.6295,0.9230,0.6071,0.9774
10,0.6408,0.8921,0.5958,1.0151
11,0.6552,0.8677,0.6223,0.9337
12,0.6644,0.8427,0.6481,0.8674
13,0.6704,0.8303,0.6450,0.8828
14,0.6753,0.8093,0.6831,0.8005
15,0.6876,0.7909,0.6901,0.7868
16,0.6914,0.7731,0.6518,0.8462
17,0.7024,0.7489,0.6631,0.8395
18,0.7066,0.7393,0.7106,0.7501
19,0.7124,0.7220,0.7008,0.7765
20,0.7202,0.7050,0.6886,0.7909
21,0.7298,0.6884,0.6961,0.8071
22,0.7351,0.6743,0.7201,0.7360
23,0.7414,0.6573,0.7133,0.7311
24,0.7474,0.6483,0.7084,0.7674
25,0.7560,0.6220,0.6853,0.8352
26,0.7624,0.6095,0.7071,0.7455
27,0.7668,0.5998,0.7346,0.6924
28,0.7772,0.5805,0.7129,0.7482
29,0.7793,0.5650,0.7138,0.7632
30,0.7877,0.5510,0.7483,0.6820
31,0.7930,0.5365,0.7219,0.7375
32,0.7973,0.5243,0.7113,0.7894
33,0.8085,0.5046,0.7519,0.6830
34,0.8084,0.5002,0.7479,0.7085
35,0.8158,0.4815,0.7501,0.7613
36,0.8186,0.4752,0.7439,0.7723
37,0.8222,0.4660,0.7359,0.8080
38,0.8304,0.4461,0.7399,0.7603
39,0.8375,0.4319,0.7334,0.8371
40,0.8378,0.4293,0.7567,0.6957
41,0.8425,0.4156,0.7506,0.7487
42,0.8459,0.4104,0.7759,0.6632
43,0.8544,0.3931,0.7816,0.6600
44,0.8553,0.3886,0.7617,0.7238
45,0.8590,0.3781,0.7687,0.7175
46,0.8613,0.3763,0.7917,0.6152
47,0.8657,0.3615,0.7711,0.7441
48,0.8707,0.3503,0.7672,0.6978
49,0.8704,0.3459,0.7777,0.6565
50,0.8713,0.3390,0.7767,0.7020
